"Ciudad de Mexico","Acapulco","Campeche","Cancun","Chichen Itza","Chihuahua","Cozumel","Cuernavaca","Guadalajara","Hermosillo","Isla Mujeres","Ixtapa Zihuatanejo","La Paz","Los Cabos","Merida","Monterrey","Morelia","Nuevo Vallarta","Oaxaca de Juarez","Playa del Carmen","Puebla","Puerto Vallarta","Queretaro","San Luis Potosi","San Miguel de Allende","Taxco","Tequila","Tlaxcala","Tuxtla Gutierrez","Villahermosa","Zacatecas","fecha"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-17
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-19
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-20
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-21
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-22
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-03-24
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-03-25
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-26
4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-03-27
2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-28
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-03-29
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2020-03-30
7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,2020-03-31
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020-04-01
6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2020-04-02
7,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020-04-03
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2020-04-04
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2020-04-05
16,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2020-04-06
11,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,2020-04-07
6,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2020-04-08
17,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,2020-04-09
27,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,2020-04-10
24,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,2020-04-11
13,0,0,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2020-04-12
18,0,0,5,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,2020-04-13
27,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0,3,0,2020-04-14
27,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,1,0,0,2,0,0,0,3,0,2020-04-15
28,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2020-04-16
25,0,0,3,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,7,0,2020-04-17
31,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,6,0,2020-04-18
42,1,1,5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,2020-04-19
44,0,0,8,0,2,1,3,0,0,0,0,3,0,2,0,0,0,0,1,6,0,0,0,0,1,0,0,0,3,0,2020-04-20
54,1,0,8,0,3,0,3,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,4,0,2020-04-21
43,1,1,4,0,1,1,1,0,0,0,0,2,0,1,1,0,0,0,1,2,2,0,0,0,1,0,0,0,6,0,2020-04-22
62,0,0,7,0,0,0,3,0,0,0,0,1,0,2,1,0,0,3,1,2,1,0,0,0,0,0,0,1,8,0,2020-04-23
67,0,2,13,0,2,2,1,2,0,0,0,3,0,0,1,0,0,0,1,8,0,0,0,0,0,0,0,0,5,0,2020-04-24
84,1,2,9,0,1,0,5,0,1,0,0,4,1,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,5,0,2020-04-25
85,1,0,7,0,3,0,3,0,0,1,0,2,1,2,0,1,0,0,4,2,0,0,1,0,0,0,1,0,5,0,2020-04-26
