AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS,NACIONAL
0,2,0,0,0,0,6,3,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,2,0,2,0,0,1,0,0,22
0,5,0,0,0,0,6,2,0,0,0,0,0,2,5,0,0,0,0,0,1,1,2,0,3,0,0,0,0,0,0,0,27
0,2,0,0,0,4,7,2,0,0,0,0,1,0,3,2,0,0,2,0,2,0,2,0,2,0,1,1,0,1,2,0,34
0,9,1,0,0,2,7,1,0,0,0,2,0,0,5,1,0,0,0,0,3,0,1,0,5,0,1,1,0,0,0,1,40
0,1,2,0,0,2,6,2,0,0,2,0,0,1,7,0,0,0,1,0,3,0,1,0,0,2,3,0,0,0,0,0,33
0,12,0,1,1,2,16,1,0,0,0,2,0,0,5,1,1,0,0,0,4,0,4,1,1,1,3,1,0,0,1,0,58
0,5,0,0,0,9,11,4,0,0,1,0,0,1,10,0,1,0,2,0,10,0,2,0,3,1,0,0,0,0,2,0,62
0,7,1,0,0,6,6,0,0,0,0,0,2,1,9,1,1,3,0,0,1,0,3,0,6,1,1,0,1,0,0,0,50
0,7,0,0,1,5,17,1,0,0,1,1,0,0,7,1,0,1,0,1,2,0,6,0,8,1,1,0,0,1,0,0,62
1,11,0,1,0,3,27,1,0,0,1,0,0,1,8,1,1,0,0,0,5,0,2,0,11,0,1,0,0,0,3,0,78
0,15,1,0,1,2,24,1,0,0,0,0,0,1,16,1,0,0,0,1,5,1,2,0,9,1,1,0,0,0,0,0,82
0,20,1,0,0,7,13,0,0,0,0,1,0,0,19,0,0,1,0,0,2,0,6,0,7,3,2,0,3,3,0,0,88
1,15,2,0,1,5,18,1,1,0,0,1,0,0,23,4,3,0,1,0,4,0,6,0,8,1,5,0,0,1,1,0,102
0,20,0,1,0,7,27,5,0,0,2,1,2,0,20,2,1,0,0,1,6,1,3,0,5,1,5,1,2,1,0,0,114
0,23,0,0,0,11,27,1,0,0,1,4,3,0,21,1,3,0,0,0,4,1,1,0,6,3,3,1,0,0,3,0,117
0,18,1,0,0,6,28,4,1,0,0,1,0,1,23,2,1,0,1,1,5,0,4,0,5,0,3,0,0,1,1,0,107
1,30,1,1,0,14,25,1,0,0,3,1,0,1,28,1,3,1,0,1,5,0,4,1,6,1,10,1,1,1,1,0,143
0,20,1,0,0,12,31,0,0,0,0,3,2,0,33,1,0,0,0,0,7,0,7,1,6,1,9,0,0,3,0,0,137
1,32,0,2,1,10,42,2,0,0,0,4,2,2,33,2,5,0,1,1,8,0,8,0,4,2,8,0,2,7,1,1,181
0,28,1,0,0,20,44,4,0,0,0,3,1,1,45,4,6,2,1,1,8,0,10,0,11,4,8,4,0,4,2,0,212
0,27,1,1,0,26,54,2,0,1,2,7,2,1,50,0,6,0,0,1,4,1,8,0,7,3,5,0,2,3,3,0,217
1,35,2,2,2,14,43,3,0,0,3,3,2,3,47,1,8,0,2,1,7,0,6,0,8,3,9,0,2,8,1,0,216
0,32,0,2,1,13,62,2,0,0,3,3,2,1,49,3,6,0,1,4,5,0,8,1,7,1,13,3,1,3,4,1,231
0,35,1,2,0,26,67,2,0,1,1,1,1,3,67,2,4,0,1,1,8,0,16,0,6,1,9,1,1,5,2,0,264
0,34,1,2,0,17,84,2,0,1,3,4,7,2,64,4,7,0,1,0,6,1,10,0,12,1,11,3,2,10,2,0,291
0,28,2,1,0,19,85,3,1,1,2,1,8,0,82,3,9,1,1,2,9,1,12,1,10,0,10,1,2,11,2,1,309
1,44,0,1,1,17,74,0,0,0,0,8,2,1,65,1,7,1,2,3,6,1,14,0,10,5,6,2,4,6,1,1,284
1,45,1,0,1,20,74,2,0,1,0,5,6,3,96,3,10,0,2,0,14,0,10,0,9,2,9,1,4,3,3,1,326
0,45,1,3,1,22,119,0,0,0,2,4,2,2,94,5,11,0,2,1,11,1,12,1,11,3,11,0,5,13,3,1,386
1,35,0,0,1,19,111,0,0,0,3,2,5,3,92,5,8,0,1,4,10,1,11,1,14,1,10,3,3,6,1,1,352
0,34,0,2,1,31,117,1,0,1,3,2,9,0,104,2,17,0,2,1,14,1,14,0,18,2,20,2,2,8,2,1,411
0,37,0,2,4,20,83,1,1,2,2,8,2,4,92,1,17,1,3,1,9,1,5,0,8,3,17,3,3,18,6,3,357
0,28,1,1,0,18,108,2,0,1,3,4,7,3,100,1,12,2,2,2,13,2,9,1,11,1,15,1,1,16,2,3,370
1,43,1,0,1,24,111,4,2,1,3,6,10,3,137,4,21,3,2,4,15,2,6,2,13,2,15,1,6,14,2,1,460
0,47,0,1,3,18,120,1,1,0,2,7,12,3,118,5,17,3,3,3,13,1,9,1,24,0,8,1,4,18,7,1,451
3,40,2,1,1,16,125,3,0,0,3,11,8,5,94,0,14,0,2,5,9,2,10,1,9,0,17,3,3,24,4,0,415
3,33,0,1,1,27,110,1,0,0,4,9,8,3,102,2,12,1,2,5,16,0,8,1,16,3,11,4,2,18,3,0,406
1,39,2,1,3,17,121,1,0,2,7,4,9,0,112,4,13,1,1,5,12,0,5,1,16,2,24,6,7,23,2,0,441
0,41,0,3,4,24,109,1,0,1,4,13,6,3,103,4,15,0,3,4,8,0,9,1,6,3,15,3,1,32,1,1,418
1,34,1,1,7,26,133,2,0,0,1,10,11,4,110,4,17,2,3,2,6,4,8,0,9,4,13,4,1,30,7,1,456
