AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,CHIAPAS,CHIHUAHUA,DISTRITO FEDERAL,COAHUILA,COLIMA,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,EDO MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS,NACIONAL
0,69,6,0,4,11,70,23,2,1,1,3,5,3,70,5,3,0,0,1,20,4,24,0,14,1,8,9,5,10,9,0,381
1,33,11,2,2,9,85,23,0,0,2,1,1,8,57,1,9,0,6,0,23,1,13,0,28,3,15,1,1,6,3,1,346
2,43,16,1,5,6,99,28,0,0,5,1,3,10,67,6,1,1,2,3,15,4,14,0,10,2,21,9,0,8,10,0,392
0,29,5,0,1,10,64,11,0,1,3,2,2,2,45,2,4,4,3,3,11,1,10,3,14,7,3,3,2,2,2,1,250
2,21,5,3,1,17,59,4,0,0,4,3,2,2,56,2,3,2,1,2,11,0,11,2,15,2,9,4,6,3,5,1,258
5,80,23,3,5,15,140,28,0,1,11,8,3,4,110,6,9,2,10,5,27,4,35,3,32,12,8,10,8,7,14,1,629
2,44,24,0,2,15,144,9,0,0,6,11,3,6,85,6,7,2,8,0,14,5,24,5,25,15,13,7,7,13,13,0,515
1,63,24,0,6,16,139,19,0,1,9,7,1,9,106,4,11,2,9,5,26,3,29,2,29,16,18,3,6,5,10,2,581
0,61,22,2,3,16,150,7,0,1,2,7,0,5,88,9,8,2,1,1,17,3,11,4,13,7,11,5,1,13,11,2,483
3,58,9,1,3,17,174,16,0,0,3,5,7,8,108,3,5,0,23,3,8,2,23,1,34,8,16,11,6,11,5,0,571
1,36,7,5,1,19,128,9,1,1,7,5,3,5,90,2,2,3,8,2,15,3,20,3,25,6,20,6,8,14,8,2,465
2,53,6,2,0,16,123,8,2,0,2,12,5,5,93,4,4,4,15,2,6,1,23,0,23,5,28,9,3,9,9,1,475
9,87,15,3,6,32,292,16,0,0,3,17,8,10,184,13,9,4,20,5,25,9,23,1,52,20,30,15,7,15,22,0,952
3,119,17,4,6,25,265,18,0,0,4,8,9,4,191,16,14,2,19,4,18,8,17,1,47,6,47,20,7,13,21,1,934
12,110,5,4,6,30,256,18,1,3,13,5,6,11,214,9,11,2,8,7,29,3,21,2,52,15,39,17,5,33,31,6,984
7,97,9,5,3,38,270,6,2,2,14,12,6,11,217,8,9,3,12,5,22,8,31,2,42,17,44,26,9,42,14,4,997
17,112,6,3,10,33,356,12,3,0,30,13,10,14,183,17,13,4,9,8,31,7,34,8,45,15,58,36,6,37,15,2,1147
14,54,3,6,4,33,213,9,1,2,12,9,6,7,178,7,9,3,6,6,24,3,47,1,35,14,49,17,3,21,10,7,813
3,66,9,2,7,37,216,9,1,10,10,6,14,5,183,9,18,2,2,3,20,2,25,1,33,7,42,11,10,20,10,1,794
17,120,7,5,11,57,506,9,1,4,15,17,20,11,294,28,34,1,13,6,32,5,47,1,65,9,74,24,9,36,28,9,1515
13,122,12,7,10,55,486,24,1,4,10,6,13,17,306,13,22,4,18,5,24,2,44,4,47,15,85,19,12,47,21,2,1470
11,104,5,7,11,58,464,14,1,3,13,13,16,25,283,13,35,4,17,9,27,7,36,3,56,23,67,30,8,33,22,2,1420
21,125,9,8,15,71,418,11,3,2,9,19,20,20,308,19,31,6,6,8,32,9,49,5,68,10,63,34,12,53,34,8,1506
11,108,13,4,13,67,570,16,3,2,13,25,20,32,359,24,37,4,7,17,45,11,25,6,72,20,71,28,15,52,37,5,1732
1,73,5,7,9,51,310,6,1,5,11,13,23,10,244,27,15,3,6,8,44,1,32,8,55,9,46,41,20,48,24,4,1160
7,78,7,9,12,40,284,5,0,8,8,18,20,9,266,20,35,6,8,12,25,2,31,3,40,17,41,34,13,32,21,3,1114
18,126,10,9,20,74,547,25,2,5,25,26,25,23,432,32,51,11,20,10,37,3,45,15,87,35,60,30,14,70,45,4,1936
32,113,4,7,10,70,614,20,0,3,18,28,28,14,413,30,32,15,28,18,46,10,44,18,51,29,60,42,24,74,49,10,1954
18,121,4,9,19,78,650,14,0,9,14,32,29,22,391,23,52,7,22,12,52,12,39,9,57,26,49,37,10,78,32,9,1936
27,96,14,8,14,83,608,21,3,2,16,19,31,26,343,26,43,13,29,12,49,6,34,11,59,40,84,19,16,69,60,4,1885
4,101,2,7,18,72,406,15,1,6,14,15,26,15,346,24,36,7,27,15,43,8,32,14,60,37,57,32,9,69,26,7,1551
3,91,8,13,9,64,381,5,0,7,10,41,23,29,291,16,29,15,22,11,43,12,72,14,49,33,52,30,16,68,30,7,1494
5,97,6,14,14,37,346,5,2,7,12,30,27,16,313,27,50,15,9,15,39,5,31,9,34,26,50,25,7,65,32,2,1372
