id,lng_nm,abbrv,cntry_id
1,AGUASCALIENTES,AS,1
2,BAJA CALIFORNIA,BC,1
3,BAJA CALIFORNIA SUR,BS,1
4,CAMPECHE,CC,1
5,COAHUILA DE ZARAGOZA,CL,1
6,COLIMA,CM,1
7,CHIAPAS,CS,1
8,CHIHUAHUA,CH,1
9,CIUDAD DE MÉXICO,DF,1
10,DURANGO,DG,1
11,GUANAJUATO,GT,1
12,GUERRERO,GR,1
13,HIDALGO,HG,1
14,JALISCO,JC,1
15,MÉXICO,MC,1
16,MICHOACÁN DE OCAMPO,MN,1
17,MORELOS,MS,1
18,NAYARIT,NT,1
19,NUEVO LEÓN,NL,1
20,OAXACA,OC,1
21,PUEBLA,PL,1
22,QUERÉTARO,QT,1
23,QUINTANA ROO,QR,1
24,SAN LUIS POTOSÍ,SP,1
25,SINALOA,SL,1
26,SONORA,SR,1
27,TABASCO,TC,1
28,TAMAULIPAS,TS,1
29,TLAXCALA,TL,1
30,VERACRUZ DE IGNACIO DE LA LLAVE,VZ,1
31,YUCATÁN,YN,1
32,ZACATECAS,ZS,1
36,ESTADOS UNIDOS MEXICANOS,EUM,1
97,NO APLICA,NA,1
98,SE IGNORA,SI,1
99,NO ESPECIFICADO,NE,99
